EventId,Disaster,Cost ($M),No. of Deaths,Duration,Start Day,Start Month,Start Year,End Day,End Month,End Year
Event094,Severe Storm,2245.3,10,2,6,4,2006,8,4,2006
Event095,Severe Storm,3392.9,27,3,13,4,2006,16,4,2006
Event096,Flooding,2130.2,20,3,25,6,2006,28,6,2006
Event097,Drought,8397.2,0,183,1,3,2006,31,8,2006
Event098,Severe Storm,1230.6,1,3,2,10,2006,5,10,2006
Event099,Wildfire,2053.8,28,364,1,1,2006,31,12,2006
Event100,Freeze,1918,1,6,11,1,2007,17,1,2007
Event101,Freeze,2800.5,0,6,4,4,2007,10,4,2007
Event102,Severe Storm,3435.7,9,4,13,4,2007,17,4,2007
Event103,Wildfire,3755.7,12,91,1,6,2007,31,8,2007
Event104,Drought,4847.4,15,182,1,6,2007,30,11,2007
Event105,Severe Storm,1296.2,12,5,4,1,2008,9,1,2008
Event106,Severe Storm,1599.4,57,1,5,2,2008,6,2,2008
Event107,Severe Storm,1492.9,5,1,14,3,2008,15,3,2008
Event108,Severe Storm,1372.3,2,2,9,4,2008,11,4,2008
Event109,Severe Storm,3998.9,13,5,22,5,2008,27,5,2008
Event110,Severe Storm,2159.5,18,6,6,6,2008,12,6,2008
Event111,Flooding,13145.1,24,90,1,4,2008,30,6,2008
Event112,Tropical Cyclone,1672.8,3,2,23,7,2008,25,7,2008
Event113,Tropical Cyclone,7916,53,3,31,8,2008,3,9,2008
Event114,Tropical Cyclone,39598.5,112,2,12,9,2008,14,9,2008
Event115,Wildfire,1629.1,16,90,1,9,2008,30,11,2008
Event116,Drought,9252.8,0,365,1,1,2008,31,12,2008
Event117,Severe Storm,2297.1,10,1,10,2,2009,11,2,2009
Event118,Severe Storm,2165.5,0,3,25,3,2009,28,3,2009
Event119,Severe Storm,1887.7,6,1,9,4,2009,10,4,2009
Event120,Severe Storm,1119.3,7,2,7,5,2009,9,5,2009
Event121,Severe Storm,1753.2,0,3,9,6,2009,12,6,2009
Event122,Severe Storm,1320,0,0,20,7,2009,20,7,2009
Event123,Wildfire,1335.7,10,182,1,6,2009,30,11,2009
Event124,Drought,4609.4,0,364,1,1,2009,31,12,2009
Event125,Winter Storm,1045.7,3,2,9,2,2010,11,2,2010
Event126,Flooding,2360.5,11,30,1,3,2010,31,3,2010
Event127,Flooding,2900.9,32,2,30,4,2010,2,5,2010
Event128,Severe Storm,4267.4,3,2,10,5,2010,12,5,2010
Event129,Severe Storm,1153.4,2,5,10,6,2010,15,6,2010
Event130,Severe Storm,1213.9,0,3,20,7,2010,23,7,2010
Event131,Severe Storm,4864,0,1,5,10,2010,6,10,2010
Event132,Winter Storm,2260.5,36,2,1,2,2011,3,2,2011
Event133,Severe Storm,3496.8,9,1,4,4,2011,5,4,2011
Event134,Severe Storm,2745.9,0,3,8,4,2011,11,4,2011
Event135,Severe Storm,2594.7,38,2,14,4,2011,16,4,2011
Event136,Severe Storm,1307.3,0,1,19,4,2011,20,4,2011
